Papertag,Molecule1,Molecule2,Membrane,molp1,molp2,molpm,Temperature,WTp,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
4INDOL298POPC,NMI,0,POPC,89,0,100,298,NULL,0.23775184372113745,0.23105875309220691,0.22695824302309928,0.22211699565118512,0.21394196629552445,0.2076192443179972,0.19759283582643722,0.1808997916096184,0.16716969660402575,0.14788407182738403,0.13341323951898482,0.11412761474234312,0.09595309591991119,0.07296332050811974,0.019233411150973934
5BXR303POPC,0,0,POPC,0,0,100,303,40,0.216,0.211,0.208,0.204,0.201,0.194,0.186,0.178,0.164,0.148,0.136,0.117,0.098,0.073,0.022
5BXR303POPC,BXR,0,POPC,10,0,90,303,40,0.212,0.208,0.205,0.202,0.198,0.194,0.185,0.179,0.169,0.148,0.134,0.114,0.095,0.071,0.02
5BXR303POPC,BXR,0,POPC,20,0,80,303,40,0.211,0.205,0.202,0.198,0.192,0.185,0.179,0.17,0.157,0.142,0.129,0.112,0.095,0.071,0.02
5BXR303POPC,BXR,POPG,POPC,33,33,33,303,40,0.211,0.206,0.202,0.199,0.194,0.187,0.18,0.172,0.159,0.142,0.127,0.11,0.093,0.071,0.02
5BXR303POPC,CHL,0,POPC,10,0,90,303,40,0.254,0.247,0.242,0.237,0.232,0.225,0.218,0.211,0.199,0.182,0.164,0.145,0.122,0.092,0.027
5BXR303POPC,CHL,0,POPC,20,0,80,303,40,0.286,0.281,0.276,0.271,0.264,0.257,0.248,0.24,0.23,0.216,0.201,0.175,0.147,0.109,0.03
5BXR303POPC,CHL,POPG,POPC,33,33,33,303,40,0.329,0.323,0.319,0.314,0.307,0.3,0.29,0.275,0.266,0.255,0.239,0.207,0.173,0.129,0.036
5BXR303POPC,POPG,0,POPC,50,0,50,303,40,0.213,0.209,0.206,0.204,0.2,0.193,0.186,0.179,0.164,0.148,0.131,0.114,0.099,0.074,0.022
6INH303POPC,0,0,POPC,0,0,100,303,50,0.2047,0.2004,0.1965,0.1922,0.184,0.177,0.1684,0.1559,0.1418,0.1309,0.1141,0.09805,0.0793,0.05273,0.02109
6INH303POPC,CER,0,POPC,20,0,80,303,50,0.225,0.2199,0.2152,0.2094,0.2035,0.1973,0.182,0.1691,0.1539,0.1359,0.1219,0.1039,0.08594,0.05039,0.01875
6INH303POPC,ERL,0,POPC,20,0,80,303,50,0.2104,0.2061,0.2029,0.2,0.1968,0.1921,0.1836,0.1772,0.167,0.1477,0.1333,0.1133,0.09497,0.07031,0.02051
6INH303POPC,IDE,0,POPC,20,0,80,303,50,0.2043,0.2004,0.1953,0.1891,0.1836,0.1754,0.1602,0.1484,0.1313,0.1199,0.1063,0.09063,0.07344,0.04688,0.01875
6INH303POPC,IMA,0,POPC,20,0,80,303,50,0.1984,0.1922,0.1859,0.1797,0.1711,0.1609,0.1508,0.1371,0.125,0.1133,0.09961,0.08594,0.06953,0.04766,0.01875
6INH303POPC,LEN,0,POPC,20,0,80,303,50,0.2097,0.2039,0.1997,0.1956,0.1904,0.1841,0.177,0.1682,0.1543,0.1384,0.1238,0.105,0.08374,0.05298,0.02002
6INH303POPC,RUX,0,POPC,20,0,80,303,50,0.1875,0.1805,0.1723,0.1648,0.1543,0.1426,0.1332,0.1199,0.1094,0.1,0.08789,0.07617,0.06328,0.04336,0.01563
6INH303POPC,SUN,0,POPC,20,0,80,303,50,0.2082,0.1984,0.1926,0.1852,0.1777,0.1652,0.1512,0.1367,0.1223,0.1109,0.09531,0.08203,0.06445,0.04492,0.01875
6ION298POPC,0,0,POPC,0,0,100,298,50,0.219,0.213,0.209,0.206,0.202,0.196,0.189,0.182,0.172,0.155,0.141,0.122,0.103,0.077,0.023
6ION298POPC,AMM,0,POPC,50,0,50,298,50,0.1904,0.1851,0.1812,0.1775,0.1714,0.1663,0.1538,0.1382,0.1226,0.1067,0.09717,0.07959,0.06836,0.05151,0.01709
6ION298POPC,BNZ,0,POPC,50,0,50,298,50,0.1724,0.167,0.1636,0.1594,0.1528,0.1458,0.1335,0.1216,0.1086,0.09546,0.08545,0.07227,0.06226,0.04785,0.01416
6ION298POPC,MIM,0,POPC,50,0,50,298,50,0.1865,0.1802,0.1768,0.1729,0.167,0.1614,0.1489,0.1335,0.1187,0.1033,0.0896,0.07715,0.06665,0.05078,0.01611
6ION298POPC,MPH,0,POPC,50,0,50,298,50,0.181,0.1785,0.176,0.174,0.1655,0.1615,0.1595,0.1397,0.12845,0.1083,0.0955,0.0784,0.06645,0.0492,0.01575
6ION298POPC,PIP,0,POPC,50,0,50,298,50,0.1638,0.1597,0.157,0.1536,0.1489,0.145,0.1387,0.1216,0.1074,0.09351,0.08179,0.0708,0.06079,0.04541,0.01416
6ION298POPC,PYR,0,POPC,50,0,50,298,50,0.205,0.179,0.174,0.172,0.1668,0.159,0.159,0.1385,0.1303,0.1105,0.0988,0.081,0.07,0.0527,0.0175
6STA303POPC,0,0,POPC,0,0,100,303,50,0.209,0.205,0.202,0.198,0.195,0.188,0.18,0.173,0.16,0.145,0.133,0.115,0.097,0.073,0.021
6STA303POPC,ATV,0,POPC,20,0,80,303,50,0.202,0.196,0.192,0.186,0.181,0.176,0.164,0.151,0.138,0.121,0.109,0.093,0.079,0.059,0.017
6STA303POPC,CVS,0,POPC,20,0,80,303,50,0.2,0.195,0.191,0.186,0.18,0.174,0.162,0.151,0.138,0.121,0.108,0.093,0.079,0.059,0.017
6STA303POPC,FVS,0,POPC,20,0,80,303,50,0.202,0.196,0.19,0.183,0.177,0.165,0.151,0.14,0.124,0.111,0.099,0.086,0.073,0.058,0.017
6STA303POPC,LVA,0,POPC,20,0,80,303,50,0.219,0.214,0.211,0.207,0.201,0.195,0.189,0.172,0.158,0.138,0.123,0.104,0.088,0.066,0.019
6STA303POPC,PVS,0,POPC,20,0,80,303,50,0.176,0.171,0.166,0.159,0.151,0.139,0.126,0.116,0.103,0.094,0.083,0.072,0.061,0.048,0.016
6STA303POPC,RVS,0,POPC,20,0,80,303,50,0.2,0.195,0.189,0.183,0.177,0.17,0.155,0.144,0.13,0.117,0.107,0.092,0.078,0.059,0.017
6TDO283POPC,0,0,POPC,0,0,100,283,50,0.242,0.238,0.233,0.229,0.222,0.215,0.209,0.199,0.186,0.171,0.156,0.136,0.121,0.093,0.013
6TDO283POPC,0,0,POPC,0,0,100,310,50,0.204,0.198,0.191,0.186,0.181,0.175,0.166,0.156,0.144,0.131,0.116,0.102,0.082,0.062,0.0235
6TDO283POPC,DPH,0,POPC,20,0,100,283,50,0.242,0.237,0.232,0.228,0.222,0.216,0.21,0.201,0.188,0.175,0.155,0.139,0.118,0.094,0.016
6TDO283POPC,DPH,0,POPC,20,0,100,310,50,0.205,0.2,0.195,0.191,0.186,0.18,0.172,0.161,0.147,0.132,0.119,0.103,0.088,0.066,0.015
6TDO283POPC,ODP,0,POPC,20,0,100,283,50,0.255,0.25,0.244,0.24,0.235,0.229,0.222,0.215,0.204,0.19,0.171,0.148,0.127,0.1,0.015
6TDO283POPC,ODP,0,POPC,20,0,100,310,50,0.207,0.203,0.199,0.196,0.192,0.187,0.18,0.171,0.157,0.139,0.123,0.105,0.089,0.068,0.014
6TDO283POPC,TPA,0,POPC,20,0,100,283,50,0.243,0.239,0.234,0.229,0.223,0.216,0.207,0.192,0.175,0.162,0.145,0.125,0.106,0.086,0.01
6TDO283POPC,TPA,0,POPC,20,0,100,310,50,0.211,0.205,0.2,0.195,0.19,0.184,0.176,0.165,0.15,0.136,0.121,0.105,0.089,0.067,0.014
6TER303POPC,0,0,POPC,0,0,100,303,50,0.209,0.205,0.202,0.198,0.195,0.188,0.18,0.173,0.16,0.145,0.133,0.115,0.097,0.073,0.021
6TER303POPC,BOR,0,POPC,25,0,75,303,50,0.218,0.211,0.206,0.2,0.193,0.185,0.169,0.157,0.143,0.127,0.114,0.099,0.084,0.064,0.021
6TER303POPC,FUA,0,POPC,25,0,75,303,50,0.225,0.22,0.216,0.211,0.205,0.197,0.187,0.176,0.16,0.143,0.13,0.112,0.095,0.071,0.02
6TER303POPC,IBO,0,POPC,25,0,75,303,50,0.213,0.206,0.202,0.198,0.193,0.186,0.179,0.17,0.156,0.141,0.127,0.11,0.094,0.071,0.025
6TER303POPC,MFA,0,POPC,25,0,75,303,50,0.214,0.209,0.205,0.201,0.197,0.19,0.182,0.174,0.16,0.145,0.133,0.115,0.097,0.073,0.021
6TER303POPC,SLF,0,POPC,25,0,75,303,50,0.188,0.181,0.175,0.171,0.164,0.156,0.145,0.131,0.12,0.106,0.096,0.084,0.072,0.056,0.016
6TER303POPC,SUL,0,POPC,25,0,75,303,50,0.211,0.205,0.201,0.197,0.192,0.185,0.177,0.167,0.15,0.138,0.123,0.107,0.092,0.071,0.026
